id,first_name,last_name,email,gender,loyalty_status,education,average_spend_2021,total_spend_2021,most_traveled_city,most_traveled_state
29,Emelia,Mathy,Emelia.Mathy@datascience.aot.com,Genderfluid,None,High School Diploma,$252.33,"$1,761.67",Hayward,CA
30,Zandra,enzley,Zandra.enzley@datascience.aot.com,Female,Silver,PhD,$160.06,$964.29,Milwaukee,WI
31,Vivia,Denziloe,Vivia.Denziloe@datascience.aot.com,Female,None,Master Degree,$311.92,"$2,006.75",Spokane,WA
32,Matthias,Blondelle,Matthias.Blondelle@datascience.aot.com,Male,Gold,Some College,$173.32,"$2,910.10",Charleston,SC
33,Tommie,Long,Tommie.Long@datascience.aot.com,Female,Gold,Bachelor Degree,$236.61,"$4,170.25",San Jose,CA
34,Linda,Gras,Linda.Gras@datascience.aot.com,Female,Silver,Bachelor Degree,$204.24,"$1,653.08",Charleston,WV
35,Joceline,Jenny,Joceline.Jenny@datascience.aot.com,Female,Silver,Bachelor Degree,$289.07,"$1,205.97",Fort Worth,TX
36,Maurie,Kirvin,Maurie.Kirvin@datascience.aot.com,Male,None,Bachelor Degree,$169.32,"$3,469.22",Detroit,MI
37,Addison,Smeuin,Addison.Smeuin@datascience.aot.com,Male,Gold,Some College,$340.79,"$4,336.01",Cincinnati,OH
38,Wilfrid,Bachnic,Wilfrid.Bachnic@datascience.aot.com,Male,None,PhD,$223.21,$473.83,Saint Louis,MO
39,Hinda,Wegner,Hinda.Wegner@datascience.aot.com,Female,Platnium,High School Diploma,$375.27,"$4,101.98",Canton,OH
40,Deana,Longford,Deana.Longford@datascience.aot.com,Polygender,Silver,Master Degree,$156.74,"$1,579.14",Washington,DC
41,Gearard,Meegan,Gearard.Meegan@datascience.aot.com,Male,Silver,PhD,$235.68,"$2,169.83",Charleston,WV
42,Mason,Dilon,Mason.Dilon@datascience.aot.com,Male,Gold,Master Degree,$295.97,"$1,445.30",Charleston,SC
43,Farica,Iggalden,Farica.Iggalden@datascience.aot.com,Female,Silver,PhD,$161.31,"$4,853.71",Fort Wayne,IN
44,Arlen,Alpe,Arlen.Alpe@datascience.aot.com,Male,Gold,High School Diploma,$257.57,"$3,751.80",Salt Lake City,UT
45,Vinson,Jako,Vinson.Jako@datascience.aot.com,Genderqueer,Platnium,Master Degree,$325.64,"$3,472.98",Houston,TX
46,Marja,O'Connor,Marja.O'Connor@datascience.aot.com,Female,Gold,Master Degree,$373.43,$972.79,El Paso,TX
47,Nobe,Schneidar,Nobe.Schneidar@datascience.aot.com,Bigender,Platnium,Master Degree,$399.02,"$3,853.09",Port Washington,NY
48,Cacilie,Cullip,Cacilie.Cullip@datascience.aot.com,Female,Platnium,PhD,$380.67,"$2,800.83",Oklahoma City,OK
49,Alina,Piddock,Alina.Piddock@datascience.aot.com,Female,None,High School Diploma,$247.33,"$2,470.67",Atlanta,GA
50,Weylin,Thackeray,Weylin.Thackeray@datascience.aot.com,Male,Silver,Master Degree,$162.38,"$1,847.04",Monticello,MN
51,Phil,Chasier,Phil.Chasier@datascience.aot.com,Agender,None,High School Diploma,$306.86,"$1,918.91",Plano,TX
52,Burke,Shiel,Burke.Shiel@datascience.aot.com,Male,Gold,Bachelor Degree,$197.22,$910.83,Springfield,IL
53,Eberto,Riddlesden,Eberto.Riddlesden@datascience.aot.com,Male,Silver,Master Degree,$166.39,$811.41,Garland,TX
54,Harper,Martindale,Harper.Martindale@datascience.aot.com,Male,Silver,Master Degree,$219.66,"$2,123.86",Washington,DC
55,Shaw,Garaway,Shaw.Garaway@datascience.aot.com,Male,None,Bachelor Degree,$234.08,"$1,679.29",Birmingham,AL
56,Jaquenetta,Edsall,Jaquenetta.Edsall@datascience.aot.com,Non-binary,Platnium,Bachelor Degree,$209.12,"$2,644.18",Omaha,NE
57,Vonny,MacColgan,Vonny.MacColgan@datascience.aot.com,Female,Gold,Master Degree,$163.20,$736.10,Rochester,NY
58,Judd,Clorley,Judd.Clorley@datascience.aot.com,Non-binary,Silver,PhD,$265.85,"$3,259.55",Mesa,AZ
59,Beckie,Follet,Beckie.Follet@datascience.aot.com,Female,Platnium,Master Degree,$183.85,"$4,670.69",,
60,Bastien,Mincini,Bastien.Mincini@datascience.aot.com,Male,Silver,PhD,$172.72,"$1,570.35",Miami,FL
61,Jerome,Corner,Jerome.Corner@datascience.aot.com,Male,None,PhD,$204.08,"$1,702.62",,
62,Ransom,Tennet,Ransom.Tennet@datascience.aot.com,Non-binary,Silver,Bachelor Degree,$164.01,"$1,764.45",Des Moines,IA
63,Sander,Branchett,Sander.Branchett@datascience.aot.com,Male,Platnium,Bachelor Degree,$336.97,"$3,387.15",Spring,TX
64,Stanton,Brotherheed,Stanton.Brotherheed@datascience.aot.com,Male,Silver,Some College,$228.54,"$3,031.98",Houston,TX
65,Shurwood,Zapatero,Shurwood.Zapatero@datascience.aot.com,Male,Platnium,Bachelor Degree,$194.37,"$3,048.79",,
66,Lindsy,Valentino,Lindsy.Valentino@datascience.aot.com,Female,None,Some College,$381.82,$524.39,Champaign,IL
67,Kippy,Hunnywell,Kippy.Hunnywell@datascience.aot.com,Male,Platnium,Bachelor Degree,$267.45,"$3,201.99",Montgomery,AL
68,Bathsheba,Burstow,Bathsheba.Burstow@datascience.aot.com,Female,Gold,Bachelor Degree,$150.99,"$1,590.48",Anaheim,CA
69,De,Raithby,De.Raithby@datascience.aot.com,Female,Silver,High School Diploma,$158.07,"$3,583.69",El Paso,TX
70,Oates,Labrow,Oates.Labrow@datascience.aot.com,Male,Gold,,,,Arlington,TX
71,Mallory,Papa,Mallory.Papa@datascience.aot.com,Male,Platnium,Master Degree,$197.35,"$3,290.77",Albany,NY
72,Brewer,Alster,Brewer.Alster@datascience.aot.com,Male,Silver,Master Degree,$259.20,"$2,129.08",,
73,Lauryn,Noraway,Lauryn.Noraway@datascience.aot.com,Female,None,Some College,$177.03,"$2,611.24",Long Beach,CA
74,Ezekiel,Maharry,Ezekiel.Maharry@datascience.aot.com,Genderfluid,Platnium,Some College,$195.65,"$3,522.20",San Francisco,CA
75,Mikel,Trengove,Mikel.Trengove@datascience.aot.com,Male,Platnium,High School Diploma,$157.11,"$3,628.53",Fresno,CA
76,Dottie,Theze,Dottie.Theze@datascience.aot.com,Female,Gold,High School Diploma,$367.85,"$4,470.77",,
77,Beulah,Liles,Beulah.Liles@datascience.aot.com,Female,None,High School Diploma,$334.55,"$1,263.49",Boise,ID
78,Saree,Risdale,Saree.Risdale@datascience.aot.com,Agender,None,Bachelor Degree,$272.14,"$4,554.85",Portland,OR
79,Boyd,Rolfo,Boyd.Rolfo@datascience.aot.com,Male,None,PhD,$345.65,"$1,749.20",Las Vegas,NV
80,Ellsworth,Dono,Ellsworth.Dono@datascience.aot.com,Polygender,Silver,Some College,$381.05,"$2,169.23",Syracuse,NY
81,Steven,Abbet,Steven.Abbet@datascience.aot.com,Male,Silver,Some College,$211.60,"$1,338.30",Salem,OR
82,Brigham,Prodrick,Brigham.Prodrick@datascience.aot.com,Male,Gold,Some College,$288.31,"$3,943.23",Naples,FL
83,Marne,Sheppard,Marne.Sheppard@datascience.aot.com,Female,None,Bachelor Degree,$151.68,$764.51,Bronx,NY
84,Frans,Noury,Frans.Noury@datascience.aot.com,Polygender,Gold,High School Diploma,$340.31,"$4,412.32",Amarillo,TX
85,Nyssa,Kohlerman,Nyssa.Kohlerman@datascience.aot.com,Female,Silver,PhD,$365.34,"$1,064.25",Omaha,NE
86,Rochella,Varvara,Rochella.Varvara@datascience.aot.com,Female,Gold,Bachelor Degree,$195.92,"$2,904.99",,
87,Bogey,Birchenhead,Bogey.Birchenhead@datascience.aot.com,Bigender,Gold,Master Degree,$247.72,$945.74,Garland,TX
88,Adore,Ellsworthe,Adore.Ellsworthe@datascience.aot.com,Female,Silver,Some College,$177.98,"$1,343.86",Farmington,MI
89,Carey,Brech,Carey.Brech@datascience.aot.com,Male,None,High School Diploma,$372.15,"$2,136.14",,
90,Kippie,Squires,Kippie.Squires@datascience.aot.com,Male,Platnium,Bachelor Degree,$274.09,$671.50,Lubbock,TX
91,Tonie,Polden,Tonie.Polden@datascience.aot.com,Female,Gold,PhD,$312.41,"$1,515.98",,
92,Gennifer,Brotherhead,Gennifer.Brotherhead@datascience.aot.com,Female,Platnium,Some College,$260.92,"$4,111.20",Washington,DC
93,Hamilton,Dibbe,Hamilton.Dibbe@datascience.aot.com,Bigender,Platnium,High School Diploma,$179.07,$515.97,Biloxi,MS
94,Lisbeth,Bratton,Lisbeth.Bratton@datascience.aot.com,Female,Platnium,PhD,$260.32,"$2,923.06",Pasadena,CA
95,Chiquita,Mehaffey,Chiquita.Mehaffey@datascience.aot.com,Polygender,None,High School Diploma,$322.47,"$3,777.42",,
96,Talia,Tribbeck,Talia.Tribbeck@datascience.aot.com,Female,Silver,Bachelor Degree,$277.51,"$3,778.47",Sacramento,CA
97,Loy,Butterfill,Loy.Butterfill@datascience.aot.com,Male,None,PhD,$382.63,$948.57,Sandy,UT
98,Des,Fintoph,Des.Fintoph@datascience.aot.com,Male,None,PhD,$297.03,"$2,179.63",Elmira,NY
99,Menard,Vaissiere,Menard.Vaissiere@datascience.aot.com,Male,None,High School Diploma,$397.50,"$2,770.42",Peoria,IL
100,Clerkclaude,Corradino,Clerkclaude.Corradino@datascience.aot.com,Male,Silver,Master Degree,$375.72,"$3,520.01",Chicago,IL
101,Candy,Quigg,Candy.Quigg@datascience.aot.com,Female,Platnium,PhD,$167.07,$811.86,Fresno,CA
102,Aila,Verbeek,Aila.Verbeek@datascience.aot.com,Female,None,,,,Austin,TX
103,Adrian,Oret,Adrian.Oret@datascience.aot.com,Male,Gold,Master Degree,$240.45,"$3,366.86",Tulsa,OK
104,Randal,Galley,Randal.Galley@datascience.aot.com,Male,None,Bachelor Degree,$342.26,$500.52,Daytona Beach,FL
105,Ora,Rosbotham,Ora.Rosbotham@datascience.aot.com,Female,Platnium,High School Diploma,$201.28,"$4,139.20",Redwood City,CA
106,Milt,Gittings,Milt.Gittings@datascience.aot.com,Male,Gold,Master Degree,$266.33,"$3,790.38",Memphis,TN
107,Brandea,Anstice,Brandea.Anstice@datascience.aot.com,Female,Gold,Some College,$297.74,"$2,219.77",Houston,TX
108,Nehemiah,Bryers,Nehemiah.Bryers@datascience.aot.com,Male,Silver,PhD,$375.11,"$4,321.74",Tyler,TX
109,Rania,Andreasson,Rania.Andreasson@datascience.aot.com,Female,None,High School Diploma,$155.42,"$4,717.83",Mesa,AZ
110,Goldarina,Shillinglaw,Goldarina.Shillinglaw@datascience.aot.com,Female,Silver,Master Degree,$277.84,"$3,300.73",Pittsburgh,PA
111,Arvie,Downs,Arvie.Downs@datascience.aot.com,Male,Silver,Bachelor Degree,$190.15,"$4,163.43",Tucson,AZ
112,Tabbie,Fearneley,Tabbie.Fearneley@datascience.aot.com,Male,None,Master Degree,$234.79,"$3,525.32",Fullerton,CA
113,Carmine,Fincham,Carmine.Fincham@datascience.aot.com,Female,Platnium,Master Degree,$307.72,"$2,409.60",Bethesda,MD
114,Kameko,Stare,Kameko.Stare@datascience.aot.com,Female,Gold,PhD,$332.00,"$4,176.35",Omaha,NE
115,Reggi,Javes,Reggi.Javes@datascience.aot.com,Female,Silver,Bachelor Degree,$362.11,"$4,512.75",Omaha,NE
116,Hildegarde,Horrell,Hildegarde.Horrell@datascience.aot.com,Female,None,Master Degree,$315.47,"$3,417.43",Dallas,TX
117,Ariana,Plevey,Ariana.Plevey@datascience.aot.com,Female,Gold,Some College,$178.18,"$2,206.76",Midland,TX
118,Gillie,Vaskov,Gillie.Vaskov@datascience.aot.com,Female,Silver,Master Degree,$389.43,"$2,195.29",Charlotte,NC
119,Alaine,Mathonnet,Alaine.Mathonnet@datascience.aot.com,Female,None,Master Degree,$152.36,"$1,238.46",Davenport,IA
120,Kean,Khoter,Kean.Khoter@datascience.aot.com,Male,Gold,Some College,$264.52,"$1,785.30",Phoenix,AZ
121,Kenyon,Bissett,Kenyon.Bissett@datascience.aot.com,Male,Gold,PhD,$365.56,"$4,305.90",Seattle,WA
122,Erma,Jewel,Erma.Jewel@datascience.aot.com,Genderfluid,None,Some College,$366.34,"$1,960.62",,
123,Kelby,Iglesias,Kelby.Iglesias@datascience.aot.com,Male,Platnium,Master Degree,$263.49,"$1,711.28",,
124,Tiler,Cattow,Tiler.Cattow@datascience.aot.com,Male,None,Master Degree,$354.20,"$3,027.10",Houston,TX
125,Kynthia,McCrohon,Kynthia.McCrohon@datascience.aot.com,Female,None,PhD,$352.48,"$4,790.18",Jacksonville,FL
126,Brendin,Chantrell,Brendin.Chantrell@datascience.aot.com,Male,Silver,Master Degree,$327.17,"$1,594.69",Jamaica,NY
127,Collie,Balam,Collie.Balam@datascience.aot.com,Genderqueer,Gold,High School Diploma,$231.40,"$4,672.65",,
128,Nichole,Gemmill,Nichole.Gemmill@datascience.aot.com,Male,None,Bachelor Degree,$232.59,"$3,165.73",Sioux Falls,SD
129,Armstrong,Murty,Armstrong.Murty@datascience.aot.com,Male,Silver,PhD,$356.48,$596.46,Norfolk,VA
130,Royal,Wickham,Royal.Wickham@datascience.aot.com,Male,Gold,Bachelor Degree,$332.55,"$1,123.68",,
131,Ronald,Brealey,Ronald.Brealey@datascience.aot.com,Male,Gold,Some College,$279.35,$652.19,Kansas City,MO
132,Belle,Mowett,Belle.Mowett@datascience.aot.com,Female,None,Master Degree,$372.25,$760.18,Kansas City,KS
133,Onfroi,Iggulden,Onfroi.Iggulden@datascience.aot.com,Male,Gold,Some College,$301.66,"$1,957.12",Las Vegas,NV
134,Tobye,Tukesby,Tobye.Tukesby@datascience.aot.com,Female,None,PhD,$201.56,"$4,844.39",Albuquerque,NM
135,Hebert,Hartles,Hebert.Hartles@datascience.aot.com,Male,None,,,,Helena,MT
136,Rafa,Potts,Rafa.Potts@datascience.aot.com,Female,None,PhD,$195.89,"$3,861.11",Hagerstown,MD
137,Cello,Pietrowicz,Cello.Pietrowicz@datascience.aot.com,Male,Gold,High School Diploma,$395.79,"$3,835.77",Springfield,MA
138,Nada,Handover,Nada.Handover@datascience.aot.com,Female,Gold,Some College,$228.09,"$1,436.54",Palmdale,CA
139,Vanny,Bentham,Vanny.Bentham@datascience.aot.com,Female,None,Bachelor Degree,$278.58,"$3,636.73",Oakland,CA
140,Beulah,Skipping,Beulah.Skipping@datascience.aot.com,Female,Silver,Some College,$350.87,"$3,427.75",Saint Petersburg,FL
141,Corrie,Miche,Corrie.Miche@datascience.aot.com,Male,None,Some College,$306.88,"$3,768.22",Oklahoma City,OK
142,Delcina,Brookes,Delcina.Brookes@datascience.aot.com,Female,Platnium,High School Diploma,$328.75,"$3,238.07",Dallas,TX
143,Bonni,Bagnell,Bonni.Bagnell@datascience.aot.com,Female,Gold,Master Degree,$375.30,"$4,461.12",Sacramento,CA
144,Tricia,Wadge,Tricia.Wadge@datascience.aot.com,Female,Platnium,High School Diploma,$359.23,"$2,526.46",Fort Wayne,IN
145,Tommie,Gwyllt,Tommie.Gwyllt@datascience.aot.com,Male,Silver,PhD,$270.12,"$1,784.91",Shawnee Mission,KS
146,Marie-jeanne,Lobbe,Marie-jeanne.Lobbe@datascience.aot.com,Female,Platnium,Master Degree,$329.01,"$2,144.85",Tacoma,WA
147,Dianne,Kestian,Dianne.Kestian@datascience.aot.com,Polygender,None,PhD,$191.95,"$4,548.47",Santa Rosa,CA
148,Susannah,Vlies,Susannah.Vlies@datascience.aot.com,Female,Gold,High School Diploma,$379.53,"$2,557.23",Minneapolis,MN
149,Kyle,Saines,Kyle.Saines@datascience.aot.com,Female,None,Bachelor Degree,$171.78,$959.24,Colorado Springs,CO
150,Tamas,Wiffler,Tamas.Wiffler@datascience.aot.com,Male,None,High School Diploma,$396.01,"$2,313.61",Atlanta,GA
151,Lawry,Bilney,Lawry.Bilney@datascience.aot.com,Male,Silver,High School Diploma,$247.80,"$2,618.49",Seattle,WA
152,Teodor,Casella,Teodor.Casella@datascience.aot.com,Male,None,Bachelor Degree,$375.90,"$4,383.42",Houston,TX
153,Alissa,Schulke,Alissa.Schulke@datascience.aot.com,Female,None,Master Degree,$339.35,$729.51,Palm Bay,FL
154,Eduard,Radley,Eduard.Radley@datascience.aot.com,Male,Gold,High School Diploma,$215.69,"$3,287.43",Rochester,NY
155,Briana,Milillo,Briana.Milillo@datascience.aot.com,Female,Silver,Some College,$339.00,"$1,497.12",Spring,TX
156,Reagan,Gethin,Reagan.Gethin@datascience.aot.com,Male,Gold,High School Diploma,$178.99,"$4,295.38",Kansas City,KS
157,Fabio,Spellard,Fabio.Spellard@datascience.aot.com,Male,None,PhD,$271.87,"$4,911.69",Wichita,KS
158,Cori,Colleer,Cori.Colleer@datascience.aot.com,Genderfluid,None,PhD,$345.22,"$4,894.18",Des Moines,IA
159,Clair,Arthars,Clair.Arthars@datascience.aot.com,Female,Silver,High School Diploma,$201.26,"$1,882.35",Roanoke,VA
160,Cordey,Mapam,Cordey.Mapam@datascience.aot.com,Female,Silver,PhD,$247.77,"$1,896.41",Spokane,WA
161,Gwendolyn,Mowson,Gwendolyn.Mowson@datascience.aot.com,Female,Platnium,Master Degree,$171.99,"$1,251.57",Scottsdale,AZ
162,Nicki,Every,Nicki.Every@datascience.aot.com,Female,Platnium,Bachelor Degree,$392.22,"$1,726.63",Gary,IN
163,Rafaello,Iowarch,Rafaello.Iowarch@datascience.aot.com,Male,Gold,PhD,$303.22,"$2,432.72",South Bend,IN
164,Amery,Berresford,Amery.Berresford@datascience.aot.com,Bigender,Gold,PhD,$187.10,"$1,514.68",Temple,TX
165,Jessi,Northern,Jessi.Northern@datascience.aot.com,Female,None,Master Degree,$198.08,$666.73,Sacramento,CA
166,Parsifal,Nurcombe,Parsifal.Nurcombe@datascience.aot.com,Male,Gold,Bachelor Degree,$335.80,"$3,630.70",Garland,TX
167,Katheryn,Vallance,Katheryn.Vallance@datascience.aot.com,Female,Silver,High School Diploma,$377.82,"$3,668.17",Bethlehem,PA
168,Celisse,Regi,Celisse.Regi@datascience.aot.com,Female,Gold,PhD,$325.75,$925.83,Gainesville,FL
169,Carlos,Pardoe,Carlos.Pardoe@datascience.aot.com,Male,None,Some College,$172.13,"$2,292.72",Pocatello,ID
170,Penn,Pinsent,Penn.Pinsent@datascience.aot.com,Male,Silver,Some College,$361.08,"$1,580.23",New York City,NY
171,Stoddard,Searchfield,Stoddard.Searchfield@datascience.aot.com,Female,None,Master Degree,$386.56,"$1,830.45",Indianapolis,IN
172,Bibbie,Wreiford,Bibbie.Wreiford@datascience.aot.com,Female,None,Bachelor Degree,$397.34,"$4,413.12",Columbia,MO
173,Madelyn,Flores,Madelyn.Flores@datascience.aot.com,Female,Silver,PhD,$287.16,"$2,297.61",Lubbock,TX
174,Cassie,Casale,Cassie.Casale@datascience.aot.com,Female,Platnium,High School Diploma,$336.13,"$1,776.35",Fargo,ND
175,Edna,Renfree,Edna.Renfree@datascience.aot.com,Genderfluid,Platnium,High School Diploma,$342.52,"$3,578.75",Houston,TX
176,Farand,Bellingham,Farand.Bellingham@datascience.aot.com,Female,Silver,Bachelor Degree,$269.07,"$2,004.67",South Bend,IN
177,Ilka,Colyer,Ilka.Colyer@datascience.aot.com,Female,None,Some College,$245.98,$647.21,Saint Petersburg,FL
178,Megen,Tomlins,Megen.Tomlins@datascience.aot.com,Female,Gold,Some College,$211.53,"$3,782.16",Austin,TX
179,Nils,Lamkin,Nils.Lamkin@datascience.aot.com,Male,None,Master Degree,$153.11,"$1,375.99",Dallas,TX
180,Chrisy,Kniveton,Chrisy.Kniveton@datascience.aot.com,Male,Silver,High School Diploma,$382.01,"$1,741.84",Cleveland,OH
181,Hillel,Gambrell,Hillel.Gambrell@datascience.aot.com,Male,None,Bachelor Degree,$307.15,"$3,527.85",Detroit,MI
182,Coraline,Tosdevin,Coraline.Tosdevin@datascience.aot.com,Female,Silver,Some College,$159.26,"$1,965.92",Phoenix,AZ
183,Tamra,Stoodley,Tamra.Stoodley@datascience.aot.com,Female,Platnium,Some College,$166.33,"$2,973.12",Evansville,IN
184,Alec,Baike,Alec.Baike@datascience.aot.com,Male,Gold,Some College,$185.36,"$3,324.12",Charlotte,NC
185,Gabbi,Legerton,Gabbi.Legerton@datascience.aot.com,Female,Platnium,Bachelor Degree,$260.86,"$4,838.74",Dallas,TX
186,Trixi,Retchless,Trixi.Retchless@datascience.aot.com,Female,Silver,High School Diploma,$231.39,"$4,694.66",Portland,OR
187,Harlin,Penson,Harlin.Penson@datascience.aot.com,Male,Platnium,Master Degree,$245.26,"$4,802.20",Wilmington,NC
188,Kip,McRory,Kip.McRory@datascience.aot.com,Male,None,High School Diploma,$366.08,"$4,643.63",Jackson,MS
189,Amye,Flahy,Amye.Flahy@datascience.aot.com,Female,Gold,Some College,$247.02,"$4,433.02",New York City,NY
190,Twila,Ashbee,Twila.Ashbee@datascience.aot.com,Non-binary,Gold,Some College,$355.27,"$2,862.78",Newark,NJ
191,Gerda,Walcar,Gerda.Walcar@datascience.aot.com,Female,Silver,Bachelor Degree,$203.39,"$2,315.71",Fort Wayne,IN
192,Tory,Scatcher,Tory.Scatcher@datascience.aot.com,Genderfluid,Silver,High School Diploma,$276.03,"$2,852.95",Milwaukee,WI
193,Adelind,Scutcheon,Adelind.Scutcheon@datascience.aot.com,Female,Gold,High School Diploma,$333.15,$775.14,Fort Worth,TX
194,Theo,McGilvra,Theo.McGilvra@datascience.aot.com,Male,Silver,Some College,$374.10,"$3,937.53",Erie,PA
195,Sibby,Maleney,Sibby.Maleney@datascience.aot.com,Female,Platnium,Bachelor Degree,$154.86,"$4,377.38",Orlando,FL
196,Tonie,Soot,Tonie.Soot@datascience.aot.com,Female,Platnium,Bachelor Degree,$180.97,"$1,074.14",Philadelphia,PA
197,Dale,Sawney,Dale.Sawney@datascience.aot.com,Male,Platnium,High School Diploma,$196.31,"$3,655.62",Mobile,AL
198,Algernon,Bach,Algernon.Bach@datascience.aot.com,Male,Gold,Master Degree,$350.72,"$4,104.07",,
199,Bert,Goudy,Bert.Goudy@datascience.aot.com,Female,Gold,Bachelor Degree,$368.64,"$4,197.90",,
200,Wynnie,Pedler,Wynnie.Pedler@datascience.aot.com,Female,Silver,High School Diploma,$166.94,"$2,165.45",Cincinnati,OH
201,Moritz,Currie,Moritz.Currie@datascience.aot.com,Male,None,Bachelor Degree,$373.10,"$4,882.80",Tampa,FL
202,Anne,Spirit,Anne.Spirit@datascience.aot.com,Female,None,PhD,$357.20,"$2,289.59",Fort Worth,TX
203,Don,Boyfield,Don.Boyfield@datascience.aot.com,Male,None,Bachelor Degree,$301.31,"$1,876.94",Brea,CA
204,Ardra,Fanton,Ardra.Fanton@datascience.aot.com,Female,Platnium,Bachelor Degree,$270.68,"$4,878.74",Wilkes Barre,PA
205,Kristina,Laxon,Kristina.Laxon@datascience.aot.com,Female,Silver,Bachelor Degree,$183.01,"$2,003.92",Hartford,CT
206,Bari,Stileman,Bari.Stileman@datascience.aot.com,Female,Silver,High School Diploma,$197.14,"$3,530.96",Virginia Beach,VA
207,Meryl,Corter,Meryl.Corter@datascience.aot.com,Male,None,Bachelor Degree,$231.88,"$3,491.37",,
208,Toby,Butlin,Toby.Butlin@datascience.aot.com,Male,Silver,PhD,$237.53,"$1,282.56",Boston,MA
209,Caesar,Barnwill,Caesar.Barnwill@datascience.aot.com,Male,Gold,Master Degree,$334.72,"$1,090.36",Spokane,WA
210,Xena,Rippon,Xena.Rippon@datascience.aot.com,Female,None,PhD,$188.46,"$2,147.27",West Hartford,CT
211,Vanya,Jotham,Vanya.Jotham@datascience.aot.com,Female,Platnium,Some College,$267.16,"$4,129.19",Round Rock,TX
212,Aube,Kitcatt,Aube.Kitcatt@datascience.aot.com,Male,Gold,Some College,$197.49,"$3,001.38",Newark,NJ
213,Field,Affuso,Field.Affuso@datascience.aot.com,Male,Gold,Bachelor Degree,$359.25,"$2,356.20",Fort Worth,TX
214,Ediva,Chicken,Ediva.Chicken@datascience.aot.com,Female,Gold,,,,Carol Stream,IL
